,count,mean,std,min,25%,50%,75%,max
ExternalRiskEstimate,10459.0,67.42575772062338,21.121621199316294,-9.0,63.0,71.0,79.0,94.0
MSinceOldestTradeOpen,10459.0,184.20537336265417,109.68381636933779,-9.0,118.0,178.0,249.5,803.0
MSinceMostRecentTradeOpen,10459.0,8.543455397265513,13.301744707752285,-9.0,3.0,5.0,11.0,383.0
AverageMInFile,10459.0,73.8432928578258,38.78280252084202,-9.0,52.0,74.0,95.0,383.0
NumSatisfactoryTrades,10459.0,19.42805239506645,13.004326513625724,-9.0,12.0,19.0,27.0,79.0
NumTrades60Ever2DerogPubRec,10459.0,0.04273831150205565,2.5139103532874922,-9.0,0.0,0.0,1.0,19.0
NumTrades90Ever2DerogPubRec,10459.0,-0.14284348408069605,2.367397280315659,-9.0,0.0,0.0,0.0,19.0
PercentTradesNeverDelq,10459.0,86.66153551964815,25.9995841128789,-9.0,87.0,96.0,100.0,100.0
MSinceMostRecentDelq,10459.0,6.762405583707811,20.50125020763565,-9.0,-7.0,-7.0,14.0,83.0
MaxDelq2PublicRecLast12M,10459.0,4.928291423654269,3.756275027396308,-9.0,4.0,6.0,7.0,9.0
MaxDelqEver,10459.0,5.510182617841094,3.9711821152575055,-9.0,5.0,6.0,8.0,8.0
NumTotalTrades,10459.0,20.856965293049047,14.580905117336496,-9.0,12.0,20.0,29.0,104.0
NumTradesOpeninLast12M,10459.0,1.2530834687828665,3.0686835154024212,-9.0,0.0,1.0,3.0,19.0
PercentInstallTrades,10459.0,32.166459508557224,20.12863393744775,-9.0,20.0,31.0,44.0,100.0
MSinceMostRecentInqexcl7days,10459.0,-0.32536571373936324,6.067556349403479,-9.0,-7.0,0.0,1.0,24.0
NumInqLast6M,10459.0,0.8681518309589827,3.1793038507231426,-9.0,0.0,1.0,2.0,66.0
NumInqLast6Mexcl7days,10459.0,0.8126015871498231,3.1436978260173767,-9.0,0.0,1.0,2.0,66.0
NetFractionRevolvingBurden,10459.0,31.629888134620902,30.060139721775645,-9.0,5.0,25.0,54.0,232.0
NetFractionInstallBurden,10459.0,39.15890620518214,42.10160135062239,-9.0,-8.0,47.0,79.0,471.0
NumRevolvingTradesWBalance,10459.0,3.1850081269719857,4.413172978983338,-9.0,2.0,3.0,5.0,32.0
NumInstallTradesWBalance,10459.0,0.9760971412180897,4.060995362214704,-9.0,1.0,2.0,3.0,23.0
NumBank2NatlTradesWHighUtilization,10459.0,0.0180705612391242,3.358134708295526,-9.0,0.0,0.0,1.0,18.0
PercentTradesWBalance,10459.0,62.07916626828569,27.71156462133933,-9.0,47.0,67.0,82.0,100.0
